ft/ft_x86_64_aligned.out  :
section                                                size         addr
.text                                                 52212      5242880
.rodata                                               14733      6291456
.rodata.cst8                                           1208      6306192
.rodata.cst16                                            96      6307408
.rodata.___src_stdio_vfprintf_c_xdigits                  16      6307504
.rodata.___src_errno_strerror_c_errid                    89      6307520
.rodata.___src_math___rem_pio2_large_c_init_jk           16      6307616
.data                                                  4360      7340032
.bss                                             1345347952      8388608
.ldata                                                    0   1353744752
.eh_frame                                               840   1353744752
.tdata                                                 4096   1354760192
.tbss                                                  4096   1355808768
.comment                                                225            0
.debug_str                                             6760            0
.debug_loc                                            59222            0
.debug_abbrev                                         15989            0
.debug_info                                           55027            0
.debug_ranges                                          3808            0
.debug_macinfo                                           73            0
.debug_frame                                           5680            0
.debug_line                                           28869            0
.debug_aranges                                          192            0
.note.gnu.gold-version                                   28            0
Total                                            1345605587


